Weight,Last,First,Conference,Allocated,ConfSeed,ConfFinish,Finish,ELO,Percent,Bonus,ELORank,Seed,Intermat,Coaches,RPI,Year,University,Record,Line
157,Nolf,Jason,Big Ten,,2,MF,1,1549.47,96.15,84.00,NR,3,1,1,3,Jr.,PSU,26-1,17
157,Oster,Shayne,Big Ten,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
157,Pantaleo,Alec,Big Ten,,3,1,5,1436.88,74.07,20,5,5,6,6,7,Jr.,MICH,21-7,9
157,Parriot,Griffin,Big Ten,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
157,Short,Jake,Big Ten,,7,7,cons 16,1384.37,58.06,38.89,13,NS,17,20,21,Sr.,MINN,18-13,15
157,Tucker,Jake,Big Ten,,NS,cons 12,NQ,,,,,NQ,NR,NR,NR,,,,
157,Van Brill,John,Big Ten,,8,8,cons 12,1392.23,61.11,45.45,10,15,18,NR,10,Jr.,RUT,22-14,29
157,Bassolino,Christian,EIWA,,NS,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
157,Brown,Ian,EIWA,,6,cons 12,cons 24,1366.58,60.00,44.44,NR,NS,NR,23,17,,LEH,18-12,10
157,D`Angelo,Mike,EIWA,,1,2,cons 32,1380.31,69.7,52.17,20,16,15,14,9,Jr.,PRIN,23-10,4
157,Davis,Zachary,EIWA,,7,cons 16,NQ,1364.84,65.71,39.13,29,NQ,NR,29,20,,NAVY,,
157,Hammond,Garett,EIWA,,5,3,cons 24,1393.52,74.07,35,9,NS,16,21,15,Sr.,DREX,20-7,2
157,Hong,Eric,EIWA,,9,cons 16,NQ,,,,,NQ,NR,NR,NR,,,,
157,Klee, Paul,EIWA,,NS,cons 12,NQ,1358.86,68,58.82,30,NQ,NR,NR,NR,,,,
